PLAYER_CODE,PLAYER_NAME,TOTAL_PENALTIES,AVERAGE_OVERALL_RATING
22982,Philip Chidi Onyemah,183,62.0
22984,Ivan Cordoba,665,81.0
22988,Mark Hudson,1157,68.9
22991,Ben Watson,1807,70.8333333333333
22994,Tom Soares,1519,63.3571428571429
22998,Julian Speroni,665,72.5714285714286
23007,Andrew Davies,764,66.4166666666667
23016,Chris Turner,512,57.7777777777778
23019,Giles Barnes,2313,67.4871794871795
23021,Boaz Myhill,984,72.625
23022,Andrew Dawson,1253,62.8695652173913
23023,Ian Ashbee,420,65.5
23025,Nick Barmby,520,64.625
23027,Matt Duke,606,61.1428571428572
23030,Damien Delaney,1631,68.4230769230769
23034,Craig Fagan,1115,64.0
23036,Ryan France,466,57.375
23051,Jimmy Juan,720,59.9285714285714
23054,Owen Garvan,2016,66.448275862069
23065,Stephen Crainey,795,67.3333333333333
23069,Frazer Richardson,1570,64.8620689655172
23070,Shaun Derry,754,66.5
23072,Richard Cresswell,1153,65.5882352941177
23073,Matthew Kilgallon,1041,69.7727272727273
23074,Robbie Blake,903,68.8333333333333
23075,Franco Sosa,545,68.5555555555556
23080,Rab Douglas,64,60.75
23081,Alan Maybury,772,60.7857142857143
23083,Stephen Hughes,826,64.6923076923077
23091,Richard Stearman,1470,69.4193548387097
23093,Tommy Wright,222,55.75
23099,Kevin Foley,1597,66.7586206896552
23104,Rowan Vine,1188,63.6666666666667
23114,Dean Brill,523,62.6111111111111
23115,Leon Barnett,1229,67.7777777777778
23117,John Sutton,1487,66.4285714285714
23127,Jody Morris,264,65.1428571428571
23133,Adam Drury,938,66.2941176470588
23134,Jason Shackell,893,70.7083333333333
23139,Dean Ashton,460,80.6666666666667
23141,Paul Gallacher,487,63.1428571428572
23144,Jurgen Colin,357,64.4
23147,Joe Lewis,687,65.5454545454546
23148,Marc Janko,2024,72.4827586206897
23151,Frazer Wright,646,64.3888888888889
23163,Akos Buzsaky,403,66.625
23170,Matt Derbyshire,1695,68.2
23182,Omar Daley,367,60.3
23185,Graham Alexander,757,67.9
23186,Callum Davidson,1008,63.75
23187,Youl Mawene,560,62.4
23190,David Nugent,1770,71.9130434782609
23193,Matthew Hill,914,61.9411764705882
23225,Stephen Hunt,1457,70.65
23249,"Lee Bullen,29",278,61.8
23253,Glenn Whelan,1812,72.7777777777778
23254,Burton O'Brien,330,65.4
23257,Chris Brunt,2056,72.4642857142857
23264,Gabriel Agbonlahor,1858,74.9333333333333
23265,"Patrick Kenny,30",418,69.3913043478261
23268,Phil Jagielka,1533,79.5
23271,Danny Webber,606,67.3
23275,Michael Tonge,1606,67.25
23282,Nicky Shorey,1646,68.7692307692308
23283,Steve Sidwell,1519,75.1739130434783
23284,Ibrahima Sonko,403,68.0
23285,Glen Little,392,69.3333333333333
23286,Leroy Lita,2146,68.8387096774194
23288,Dave Kitson,1087,69.3333333333333
23291,Kevin Doyle,2498,71.5
23293,Shane Long,2283,73.3225806451613
23299,Brett Ormerod,700,68.2
23304,Djamel Belmadi,210,66.3333333333333
23305,Nathan Dyer,1331,71.304347826087
23307,Steve Simonsen,466,65.6666666666667
23310,Michael Duberry,710,63.6666666666667
23311,Clint Hill,917,69.3333333333333
23314,Mamady Sidibe,895,66.2857142857143
23317,David Templeton,970,65.5625
23333,Seyi Olofinjana,1023,67.8181818181818
